name,ranked,genre,theme,status,episodes,duration,start_date,end_date,favorites
"""Oshi no Ko""",Ranked #1,"DramaDrama,","ReincarnationReincarnation,",Currently,11,Unknown,"['Apr12', '2023']",['?'],7.523
Fullmetal Alchemist: Brotherhood,Ranked #2,"ActionAction,",,Finished,64,24,"['Apr5', '2009']","['Jul4', '2010']",215.444
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Ranked #3,"ActionAction,","GoreGore,",Currently,2,1,"['Mar4', '2023']",['2023'],7.949
Steins;Gate,Ranked #4,"DramaDrama,","PsychologicalPsychological,",Finished,24,24,"['Apr6', '2011']","['Sep14', '2011']",181.179
Bleach: Sennen Kessen-hen,Ranked #5,"ActionAction,",,Finished,13,24,"['Oct11', '2022']","['Dec27', '2022']",16.916
Gintama°,Ranked #6,"ActionAction,",Gag,Finished,51,24,"['Apr8', '2015']","['Mar30', '2016']",15.714
Kaguya-sama wa Kokurasetai: Ultra Romantic,Ranked #7,"ComedyComedy,",,Finished,13,23,"['Apr9', '2022']","['Jun25', '2022']",28.201
Shingeki no Kyojin Season 3 Part 2,Ranked #8,"ActionAction,","GoreGore,",Finished,10,23,"['Apr29', '2019']","['Jul1', '2019']",54.695
Gintama: The Final,Ranked #9,"ActionAction,",Gag,Finished,1,1,"['Jan8', '2021']",[''],4.006
Gintama',Ranked #10,"ActionAction,",Gag,Finished,51,24,"['Apr4', '2011']","['Mar26', '2012']",7.659
Hunter x Hunter (2011),Ranked #11,"ActionAction,",,Finished,148,23,"['Oct2', '2011']","['Sep24', '2014']",197.912
Gintama': Enchousen,Ranked #12,"ActionAction,",Gag,Finished,13,24,"['Oct4', '2012']","['Mar28', '2013']",2.943
Ginga Eiyuu Densetsu,Ranked #13,"DramaDrama,",Adult,Finished,110,26,"['Jan8', '1988']","['Mar17', '1997']",15.499
Fruits Basket: The Final,Ranked #14,"DramaDrama,",,Finished,13,23,"['Apr6', '2021']","['Jun29', '2021']",18.582
Gintama.,Ranked #15,"ActionAction,",Gag,Finished,12,24,"['Jan9', '2017']","['Mar27', '2017']",2.626
3-gatsu no Lion 2nd Season,Ranked #16,,"ChildcareChildcare,",Finished,22,25,"['Oct14', '2017']","['Mar31', '2018']",14.766
Gintama,Ranked #17,"ActionAction,",Gag,Finished,201,24,"['Apr4', '2006']","['Mar25', '2010']",57.298
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Ranked #20,"ComedyComedy,",,Finished,1,1,"['Dec17', '2022']",[''],1.040
Koe no Katachi,Ranked #18,Award,,Finished,1,2,"['Sep17', '2016']",[''],82.353
Clannad: After Story,Ranked #19,"DramaDrama,",,Finished,24,24,"['Oct3', '2008']","['Mar27', '2009']",68.605
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Ranked #21,"ActionAction,",Gag,Finished,1,1,"['Jul6', '2013']",[''],2.081
Code Geass: Hangyaku no Lelouch R2,Ranked #22,"ActionAction,","MechaMecha,",Finished,25,24,"['Apr6', '2008']","['Sep28', '2008']",74.061
Violet Evergarden Movie,Ranked #23,Award,,Finished,1,2,"['Sep18', '2020']",[''],7.990
Owarimonogatari 2nd Season,Ranked #24,"ComedyComedy,",,Finished,7,22,"['Aug12', '2017']","['Aug13', '2017']",8.398
Bocchi the Rock!,Ranked #25,,"CGDCTCGDCT,",Finished,12,23,"['Oct9', '2022']","['Dec25', '2022']",18.829
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Ranked #26,"ActionAction,",Gag,Finished,14,24,"['Jul9', '2018']","['Oct8', '2018']",1.017
Monster,Ranked #27,"DramaDrama,",Adult,Finished,74,24,"['Apr7', '2004']","['Sep28', '2005']",45.798
Kimi no Na wa.,Ranked #28,Award,,Finished,1,1,"['Aug26', '2016']",[''],86.337
Gintama.: Shirogane no Tamashii-hen,Ranked #29,"ActionAction,",Gag,Finished,12,24,"['Jan8', '2018']","['Mar26', '2018']",1.128
Kimetsu no Yaiba: Yuukaku-hen,Ranked #30,"ActionAction,",,Finished,11,26,"['Dec5', '2021']","['Feb13', '2022']",23.019
Kingdom 3rd Season,Ranked #31,,"HistoricalHistorical,",Finished,26,25,"['Apr6', '2020']","['Oct17', '2021']",1.775
Mob Psycho 100 II,Ranked #32,"ActionAction,",,Finished,13,24,"['Jan7', '2019']","['Apr1', '2019']",31.472
Shingeki no Kyojin: The Final Season,Ranked #33,"ActionAction,","GoreGore,",Finished,16,23,"['Dec7', '2020']","['Mar29', '2021']",51.196
Kizumonogatari III: Reiketsu-hen,Ranked #34,"ActionAction,",,Finished,1,1,"['Jan6', '2017']",[''],7.164
Sen to Chihiro no Kamikakushi,Ranked #35,"AdventureAdventure,",,Finished,1,2,"['Jul20', '2001']",[''],30.753
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Ranked #36,,"SchoolSchool,",Finished,10,24,"['Oct8', '2016']","['Dec10', '2016']",15.107
Monogatari Series: Second Season,Ranked #37,"ComedyComedy,",,Finished,26,25,"['Jul7', '2013']","['Dec29', '2013']",22.947
Shingeki no Kyojin: The Final Season Part 2,Ranked #38,"ActionAction,","GoreGore,",Finished,12,23,"['Jan10', '2022']","['Apr4', '2022']",28.807
Hajime no Ippo,Ranked #39,,,Finished,75,23,"['Oct4', '2000']","['Mar27', '2002']",19.696
Cowboy Bebop,Ranked #40,"ActionAction,",Adult,Finished,26,24,"['Apr3', '1998']","['Apr24', '1999']",77.573
Kingdom 4th Season,Ranked #41,,"HistoricalHistorical,",Finished,26,24,"['Apr10', '2022']","['Oct2', '2022']",919
Shiguang Dailiren,Ranked #42,"DramaDrama,",Adult,Finished,11,23,"['Apr30', '2021']","['Jul9', '2021']",9.068
