name,ranked,genre,theme,status,episodes,duration,start_date,end_date,favorites
"""Oshi no Ko""",1,Drama,Reincarnation,Currently,11.0,Unknown,Apr;12;2023,?;,7.523
Fullmetal Alchemist: Brotherhood,2,Action,,Finished,64.0,24,Apr;12;2023,Jul;4;2010,215.444
Shingeki no Kyojin: The Final Season - Kanketsu-hen,3,Action,Gore,Currently,2.0,1,Apr;12;2023,202;3,7.949
Steins;Gate,4,Drama,Psychological,Finished,24.0,24,Apr;12;2023,Sep;14;2011,181.179
Bleach: Sennen Kessen-hen,5,Action,,Finished,13.0,24,Apr;12;2023,Dec;27;2022,16.916
Gintama°,6,Action,Gag,Finished,51.0,24,Apr;12;2023,Mar;30;2016,15.714
Kaguya-sama wa Kokurasetai: Ultra Romantic,7,Comedy,,Finished,13.0,23,Apr;12;2023,Jun;25;2022,28.201
Shingeki no Kyojin Season 3 Part 2,8,Action,Gore,Finished,10.0,23,Apr;12;2023,Jul;1;2019,54.695
Gintama: The Final,9,Action,Gag,Finished,1.0,1,Apr;12;2023,;,4.006
Gintama',10,Action,Gag,Finished,51.0,24,Apr;12;2023,Mar;26;2012,7.659
Hunter x Hunter (2011),11,Action,,Finished,148.0,23,Apr;12;2023,Sep;24;2014,197.912
Gintama': Enchousen,12,Action,Gag,Finished,13.0,24,Apr;12;2023,Mar;28;2013,2.943
Ginga Eiyuu Densetsu,13,Drama,Adult,Finished,110.0,26,Apr;12;2023,Mar;17;1997,15.499
Fruits Basket: The Final,14,Drama,,Finished,13.0,23,Apr;12;2023,Jun;29;2021,18.582
Gintama.,15,Action,Gag,Finished,12.0,24,Apr;12;2023,Mar;27;2017,2.626
3-gatsu no Lion 2nd Season,16,,Childcare,Finished,22.0,25,Apr;12;2023,Mar;31;2018,14.766
Gintama,17,Action,Gag,Finished,201.0,24,Apr;12;2023,Mar;25;2010,57.298
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,20,Comedy,,Finished,1.0,1,Apr;12;2023,;,1.04
Koe no Katachi,18,Award,,Finished,1.0,2,Apr;12;2023,;,82.353
Clannad: After Story,19,Drama,,Finished,24.0,24,Apr;12;2023,Mar;27;2009,68.605
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,21,Action,Gag,Finished,1.0,1,Apr;12;2023,;,2.081
Code Geass: Hangyaku no Lelouch R2,22,Action,Mecha,Finished,25.0,24,Apr;12;2023,Sep;28;2008,74.061
Violet Evergarden Movie,23,Award,,Finished,1.0,2,Apr;12;2023,;,7.99
Owarimonogatari 2nd Season,24,Comedy,,Finished,7.0,22,Apr;12;2023,Aug;13;2017,8.398
Bocchi the Rock!,25,,CGDCT,Finished,12.0,23,Apr;12;2023,Dec;25;2022,18.829
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,26,Action,Gag,Finished,14.0,24,Apr;12;2023,Oct;8;2018,1.017
Monster,27,Drama,Adult,Finished,74.0,24,Apr;12;2023,Sep;28;2005,45.798
Kimi no Na wa.,28,Award,,Finished,1.0,1,Apr;12;2023,;,86.337
Gintama.: Shirogane no Tamashii-hen,29,Action,Gag,Finished,12.0,24,Apr;12;2023,Mar;26;2018,1.128
Kimetsu no Yaiba: Yuukaku-hen,30,Action,,Finished,11.0,26,Apr;12;2023,Feb;13;2022,23.019
Kingdom 3rd Season,31,,Historical,Finished,26.0,25,Apr;12;2023,Oct;17;2021,1.775
Mob Psycho 100 II,32,Action,,Finished,13.0,24,Apr;12;2023,Apr;1;2019,31.472
Shingeki no Kyojin: The Final Season,33,Action,Gore,Finished,16.0,23,Apr;12;2023,Mar;29;2021,51.196
Kizumonogatari III: Reiketsu-hen,34,Action,,Finished,1.0,1,Apr;12;2023,;,7.164
Sen to Chihiro no Kamikakushi,35,Adventure,,Finished,1.0,2,Apr;12;2023,;,30.753
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,36,,School,Finished,10.0,24,Apr;12;2023,Dec;10;2016,15.107
Monogatari Series: Second Season,37,Comedy,,Finished,26.0,25,Apr;12;2023,Dec;29;2013,22.947
Shingeki no Kyojin: The Final Season Part 2,38,Action,Gore,Finished,12.0,23,Apr;12;2023,Apr;4;2022,28.807
Hajime no Ippo,39,,,Finished,75.0,23,Apr;12;2023,Mar;27;2002,19.696
Cowboy Bebop,40,Action,Adult,Finished,26.0,24,Apr;12;2023,Apr;24;1999,77.573
Kingdom 4th Season,41,,Historical,Finished,26.0,24,Apr;12;2023,Oct;2;2022,919.0
Shiguang Dailiren,42,Drama,Adult,Finished,11.0,23,Apr;12;2023,Jul;9;2021,9.068
Mob Psycho 100 III,43,Action,,Finished,12.0,23,Apr;12;2023,Dec;22;2022,8.387
Mushishi Zoku Shou 2nd Season,44,Adventure,Adult,Finished,10.0,23,Apr;12;2023,Dec;21;2014,1.385
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,45,,Adult,Finished,12.0,24,Apr;12;2023,Mar;25;2017,3.066
Vinland Saga,46,Action,Gore,Finished,24.0,24,Apr;12;2023,Dec;30;2019,40.577
Kimetsu no Yaiba: Katanakaji no Sato-hen,47,Action,,Currently,,Unknown,Apr;12;2023,?;,4.354
86 Part 2,48,Action,Mecha,Finished,12.0,23,Apr;12;2023,Mar;19;2022,12.479
Ashita no Joe 2,49,Drama,,Finished,47.0,24,Apr;12;2023,Aug;31;1981,2.385
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,50,Action,Adult,Finished,4.0,29,Apr;12;2023,Sep;22;1999,6.105
Mushishi Zoku Shou,51,Adventure,Adult,Finished,10.0,24,Apr;12;2023,Jun;21;2014,1.505
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,52,Drama,Isekai,Finished,12.0,23,Apr;12;2023,Dec;20;2021,16.782
Code Geass: Hangyaku no Lelouch,53,Action,Mecha,Finished,25.0,24,Apr;12;2023,Jul;29;2007,104.464
Great Teacher Onizuka,54,,Delinquents,Finished,43.0,25,Apr;12;2023,Sep;17;2000,25.016
Odd Taxi,55,Award,,Finished,13.0,23,Apr;12;2023,Jun;29;2021,7.491
One Piece,56,Action,,Currently,,24,Apr;12;2023,?;,194.472
Vinland Saga Season 2,57,Action,Gore,Currently,24.0,25,Apr;12;2023,?;,4.56
Fate/stay night Movie: Heaven's Feel - III. Spring Song,58,Action,,Finished,1.0,2,Apr;12;2023,;,7.585
Violet Evergarden,59,Drama,,Finished,13.0,24,Apr;12;2023,Apr;5;2018,56.926
Made in Abyss: Retsujitsu no Ougonkyou,60,Adventure,Gore,Finished,12.0,25,Apr;12;2023,Sep;28;2022,4.935
